ticket_id,customer_id,ticket_text,product,created_at,previous_tickets,resolution_time,priority,category,resolved
RGT-001189,CUST-4FC4738B,Getting lag spikes every few minutes that last about 2 seconds. This started after last Tuesday's patch.,Legends of Runeterra,2023-02-06 20:12:44,21.0,28.93,LOW,Server Latency / Lag,True
RGT-001462,CUST-ED59D5A1,,Wild Rift,2023-10-24 07:23:57,4.0,23.88,MEDIUM,Account Ban / Suspension,True
RGT-002479,CUST-4823FCFD,"Hello, my account was flagged and restricted. I believe this is a false positive from your anti-cheat. I need an appeal.",Legends of Runeterra,not-a-date,3.0,,MEDIUM,Account Ban / Suspension,False
RGT-001546,CUST-A47EA986,I accidentally purchased the wrong champion. Can I get a refund? I only have one refund token left.,Legends of Runeterra,2023-11-23 18:50:51,4.0,16.2,MEDIUM,Missing RP / Purchase Issue,True
RGT-000696,CUST-2CA48875,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,Legends of Runeterra,2023-03-16 23:38:39,0.0,,MEDIUM,Missing RP / Purchase Issue,False
RGT-001629,CUST-023FE7E6,Account banned with no explanation. I spent over $500 on this account. Please look into this immediately.,Valorant,2024-06-25 14:27:15,17.0,0.3,HIGH,Account Ban / Suspension,True
RGT-000081,CUST-023FE7E6,I lost LP for a loss that was not my fault. My teammates went AFK in the first 5 minutes.,Legends of Runeterra,2023-11-26 08:12:29,1.0,47.87,LOW,Ranked & Matchmaking,True
RGT-ND-9026,CUST-E5A3E89B,Game crashes on the loading screen every time.,League of Legends,2023-06-15 14:30:00,2.0,10.0,MEDIUM,Missing RP / Purchase Issue,True
RGT-001150,CUST-023FE7E6,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,Wild Rift,2023-04-12 15:19:46,12.0,20.0,LOW,Missing RP / Purchase Issue,True
RGT-001152,CUST-2C0B0E3F,My League account got banned out of nowhere. I was just playing ranked and then I got logged out. Can you explain why?,Wild Rift,2024-01-07 13:22:04,4.0,28.42,MEDIUM,Account Ban / Suspension,True
RGT-000863,CUST-8C949838,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Legends of Runeterra,2023-04-01 09:30:38,0.0,26.51,MEDIUM,Account Ban / Suspension,True
RGT-001261,CUST-4CF66CD9,Got a chat ban that escalated to a full account suspension. The context was taken out of context. I want to appeal.,League of Legends,2023-02-12 09:57:39,16.0,41.55,MEDIUM,Account Ban / Suspension,True
RGT-000440,CUST-1767AA4A,Player using Elo-boosting service. They were clearly being played by someone else based on behaviour change.,Teamfight Tactics,2023-07-25 22:50:57,10.0,3.51,LOW,Cheat / Hacker Report,True
RGT-000472,CUST-01E0218A,I purchased an emote for a character I no longer play. Refund would be appreciated.,Legends of Runeterra,2024-04-14 04:21:42,3.0,7.2,MEDIUM,Refund Request,True
RGT-002231,CUST-8B088BAB,,Legends of Runeterra,2024-02-12 10:43:16,7.0,115.77,LOW,Missing RP / Purchase Issue,True
RGT-002012,CUST-80A7FB33,Blatant cheater in Diamond ranked. Please investigate account RiotUser#93441. They were toggling aimbot openly.,Teamfight Tactics,2023-05-30 19:30:11,4.0,221.76,LOW,Cheat / Hacker Report,True
RGT-001707,CUST-5F210E14,My League account got banned out of nowhere. I was just playing ranked and then I got logged out. Can you explain why?,Valorant,2023-08-07 02:48:48,,,HIGH,Account Ban / Suspension,False
RGT-000813,CUST-3D51023D,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,Wild Rift,2023-03-20 18:58:37,11.0,,LOW,Cheat / Hacker Report,False
RGT-001235,CUST-1479B5E5,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,Wild Rift,2023-10-18 03:05:00,0.0,13.57,HIGH,Missing RP / Purchase Issue,True
RGT-002247,CUST-D29BC432,Account logged in on an unrecognised device. I changed password but 2FA was not set up. How do I add it now?,Valorant,2023-02-10 05:47:22,1.0,85.25,MEDIUM,Login / 2FA Issue,True
RGT-000569,CUST-20E2A652,The Arcane Vi skin causes my game to crash during the level-up animation. Reproducible every time.,League of Legends,2024-06-06 18:47:16,1.0,403.25,LOW,Champion / Skin Bug,True
RGT-DUPE-0046,CUST-D3C24607,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,Teamfight Tactics,2023-01-15 08:54:50,2.0,27.0,MEDIUM,Cheat / Hacker Report,True
RGT-001654,CUST-4FC4738B,Account recovery is not working. I no longer have access to the email or phone number on record.,Wild Rift,2024-01-27 10:23:21,27.0,183.25,LOW,Login / 2FA Issue,True
RGT-000142,CUST-595CB38B,I was charged twice for the same RP bundle. I see two transactions on my statement for $20.00.,Wild Rift,2024-03-08 20:34:41,0.0,54.36,LOW,Missing RP / Purchase Issue,True
RGT-000512,CUST-FA9DBD80,This player admitted to using scripts in chat. I have a screenshot. How do I submit it?,Teamfight Tactics,2024-02-18 12:50:49,5.0,42.9,LOW,Cheat / Hacker Report,True
RGT-001613,CUST-ABA4C4B7,I received a 25-game chat restriction for a single game where I was defending myself. This is disproportionate.,Legends of Runeterra,2024-01-07 23:32:28,22.0,30.8,MEDIUM,Chat Restriction Appeal,True
RGT-002606,CUST-1C74A8CE,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,Wild Rift,2023-10-15 06:28:37,3.0,1.47,MEDIUM,Missing RP / Purchase Issue,True
RGT-001810,CUST-AB7EE0E4,"My smurf account was banned, now my main account is also restricted. I do not understand what happened.",Wild Rift,2023-07-04 16:40:33,3.0,47.31,MEDIUM,Account Ban / Suspension,True
RGT-002867,CUST-C4731564,Possible griefing bot detected on the enemy team. All five of them stood still in base.,League of Legends,2024-05-28 05:07:23,34.0,25.78,MEDIUM,Cheat / Hacker Report,True
RGT-001685,CUST-E1906887,Player using Elo-boosting service. They were clearly being played by someone else based on behaviour change.,Wild Rift,2023-10-11 10:34:32,2.0,,MEDIUM,Cheat / Hacker Report,False
RGT-000611,CUST-C91C1ECE,Player using Elo-boosting service. They were clearly being played by someone else based on behaviour change.,Valorant,2024-05-18 19:37:42,12.0,,MEDIUM,Cheat / Hacker Report,False
RGT-002811,CUST-F48C257F,The game client crashes every time I enter champion select. I reinstalled but the problem persists.,Teamfight Tactics,2023-04-28 23:27:01,6.0,6.63,MEDIUM,Client Bug / Crash,True
RGT-001967,CUST-4E0BB732,I was in promo series but the server crashed mid-game. The loss was counted against me.,League of Legends,2023-11-21 17:53:11,4.0,,LOW,Ranked & Matchmaking,False
RGT-000832,CUST-06A83EFD,"Hello, my account was flagged and restricted. I believe this is a false positive from your anti-cheat. I need an appeal.",Wild Rift,2023-11-05 04:12:34,1.0,28.04,LOW,Account Ban / Suspension,True
RGT-000178,CUST-088F80DF,Got a chat ban that escalated to a full account suspension. The context was taken out of context. I want to appeal.,Teamfight Tactics,2023-03-19 08:12:27,0.0,23.62,MEDIUM,Account Ban / Suspension,True
RGT-000858,CUST-A6E2586F,2FA is sending codes but they expire before I can enter them. Clock sync on my phone is correct.,League of Legends,2023-04-03 19:38:35,1.0,1.61,HIGH,Login / 2FA Issue,True
RGT-000694,CUST-8CCE3FA3,This player admitted to using scripts in chat. I have a screenshot. How do I submit it?,Valorant,2024-05-24 11:29:04,1.0,5.08,HIGH,Cheat / Hacker Report,True
RGT-001737,CUST-E0EBF5E1,Audio cuts out completely mid-game after around 20 minutes of play. Rolling back drivers did not fix it.,Valorant,2023-05-20 02:21:24,21.0,1.95,HIGH,Client Bug / Crash,True
RGT-001073,CUST-1D5272DD,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,League of Legends,2023-10-11 13:42:07,2.0,104.13,LOW,Cheat / Hacker Report,True
RGT-001279,CUST-AC643856,The game client crashes every time I enter champion select. I reinstalled but the problem persists.,Valorant,2023-01-15 09:16:09,3.0,,MEDIUM,Client Bug / Crash,False
RGT-001504,CUST-1B5CD02F,Ranked queue dodging penalty applied even though I did not dodge. I was in loading screen.,Wild Rift,2023-11-11 06:35:02,1.0,62.59,LOW,Ranked & Matchmaking,True
RGT-000184,CUST-57FBCB14,FPS dropping from 200 to single digits every few minutes since patch 13.8. My hardware is fine.,League of Legends,2024-01-20 09:22:32,0.0,,MEDIUM,Client Bug / Crash,False
RGT-001469,CUST-01E0218A,"After the latest patch, my client freezes on the loading screen. I cannot get into any game.",Wild Rift,2024-04-19 00:18:35,21.0,16.87,HIGH,Client Bug / Crash,True
RGT-002228,CUST-7A32E5DE,,Teamfight Tactics,2024-04-01 09:51:12,28.0,3.64,MEDIUM,Ranked & Matchmaking,True
RGT-002728,CUST-E0EBF5E1,Ranked queue dodging penalty applied even though I did not dodge. I was in loading screen.,League of Legends,2023-03-29 09:15:19,29.0,,HIGH,Ranked & Matchmaking,False
RGT-000566,CUST-D54124E1,I was gifted a skin I already owned. The duplicate was auto-converted to orange essence. I want a refund.,Valorant,2023-01-03 09:30:08,2.0,,LOW,Refund Request,False
RGT-002902,CUST-C7797CA4,I called out a griefer and got chat banned while they did not. The system feels inconsistent.,Valorant,2023-07-28 16:25:54,1.0,7.45,MEDIUM,Chat Restriction Appeal,True
RGT-002341,CUST-A326E34B,"Bought a bundle in the store, got charged but the content never appeared in my collection.",Teamfight Tactics,2023-07-29 13:59:28,4.0,0.28,LOW,Missing RP / Purchase Issue,True
RGT-001986,CUST-6D8BA715,,Legends of Runeterra,2023-03-13 03:22:32,,2.56,LOW,Client Bug / Crash,True
RGT-001830,CUST-1D5272DD,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,Legends of Runeterra,2024-01-13 21:48:49,7.0,4.14,HIGH,Cheat / Hacker Report,True
RGT-002851,CUST-023FE7E6,My account RiotUser#19102 was permanently banned but I never cheated. Please review the ban.,League of Legends,2024-05-09 22:53:09,31.0,,MEDIUM,Account Ban / Suspension,False
RGT-000487,CUST-F239E82D,"Purchased RP via prepaid card, entered the code but nothing was credited. Code: RITO-448B9B.",Teamfight Tactics,2023-09-26 03:56:16,2.0,,MEDIUM,Missing RP / Purchase Issue,False
RGT-002941,CUST-D6D08728,My clash tournament registration was cancelled without notification. Please refund the ticket fee.,Valorant,2023-10-25 03:41:47,6.0,,MEDIUM,Ranked & Matchmaking,False
RGT-001205,CUST-1767AA4A,I was charged twice for the same RP bundle. I see two transactions on my statement for $20.00.,Valorant,2023-05-25 21:19:54,18.0,,MEDIUM,Missing RP / Purchase Issue,False
RGT-000371,CUST-BF3EEDA3,The EUW server has been unstable all weekend. Multiple disconnects per gaming session.,Wild Rift,2023-10-03 23:24:24,2.0,,HIGH,Server Latency / Lag,False
RGT-000163,CUST-100E8CC8,Remake did not trigger even though a player was AFK from champion select. Lost LP unfairly.,Teamfight Tactics,2024-05-17 12:57:04,0.0,22.76,MEDIUM,Ranked & Matchmaking,True
RGT-002647,CUST-5A96127B,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,Wild Rift,2023-03-26 23:52:26,3.0,,MEDIUM,Missing RP / Purchase Issue,False
RGT-002651,CUST-672FBBB9,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Valorant,2023-06-08 08:48:30,1.0,2.35,HIGH,Account Ban / Suspension,True
RGT-002932,CUST-EE8A5B94,This player in my last game was clearly using an aimbot. Every bullet was a headshot through smoke.,League of Legends,2023-06-16 01:37:38,3.0,5.83,LOW,Cheat / Hacker Report,True
RGT-001912,CUST-CC7B8839,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,Wild Rift,2023-10-22 01:04:31,8.0,,MEDIUM,Missing RP / Purchase Issue,False
RGT-000730,CUST-7709DC90,My Pulsefire Ezreal skin's recall animation is broken. It just shows the default animation instead.,Valorant,2024-02-22 19:28:46,4.0,115.52,LOW,Champion / Skin Bug,True
RGT-000970,CUST-AB648898,The game client crashes every time I enter champion select. I reinstalled but the problem persists.,Legends of Runeterra,2023-03-20 16:25:11,1.0,3.79,MEDIUM,Client Bug / Crash,True
RGT-000671,CUST-7CDF7E83,Player using Elo-boosting service. They were clearly being played by someone else based on behaviour change.,Wild Rift,2023-07-27 04:42:17,2.0,0.12,HIGH,Cheat / Hacker Report,True
RGT-000888,CUST-2AE1BE16,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,Legends of Runeterra,2023-05-18 15:54:31,0.0,3.48,MEDIUM,Missing RP / Purchase Issue,True
RGT-000031,CUST-C715E320,Constant 'Connection Error' messages in client even though my internet is working perfectly.,Wild Rift,2023-07-21 07:40:50,0.0,100.33,LOW,Client Bug / Crash,True
RGT-001056,CUST-B7D9B9ED,The game client crashes every time I enter champion select. I reinstalled but the problem persists.,Wild Rift,2024-05-13 14:33:12,1.0,42.0,LOW,Client Bug / Crash,True
RGT-002080,CUST-A7BEC292,Cheater ruined 3 games in a row. Your reporting system seems broken. They are still not banned.,Teamfight Tactics,2024-04-23 04:19:14,2.0,,HIGH,Cheat / Hacker Report,False
RGT-001584,CUST-35622996,I was banned for account sharing. I let my brother play once. Is there a way to appeal this decision?,Legends of Runeterra,2023-11-06 07:34:49,4.0,6.13,HIGH,Account Ban / Suspension,True
RGT-001592,CUST-EA308573,I got permabanned for 'toxic behaviour' but all I did was mute my teammates. This seems unfair.,Teamfight Tactics,2024-06-24 02:25:48,1.0,15.6,MEDIUM,Account Ban / Suspension,True
RGT-000174,CUST-4ED88BA2,I purchased the Battle Pass but didn't receive the rewards. Transaction ID: TXN-794BAFD2.,Wild Rift,2024-04-23 13:53:27,0.0,10.8,LOW,Missing RP / Purchase Issue,True
RGT-001963,CUST-3488A6BE,I completed my placement matches but my rank is much lower than last season. Is this expected?,Wild Rift,2024-01-30 11:12:59,1.0,55.07,LOW,Ranked & Matchmaking,True
RGT-000297,CUST-F1B42935,"Bought a bundle in the store, got charged but the content never appeared in my collection.",League of Legends,2024-03-11 05:40:54,0.0,19.57,MEDIUM,Missing RP / Purchase Issue,True
RGT-000326,CUST-FBEEE1AE,This player in my last game was clearly using an aimbot. Every bullet was a headshot through smoke.,Teamfight Tactics,2023-03-08 01:59:14,0.0,12.2,MEDIUM,Cheat / Hacker Report,True
RGT-001237,CUST-E5F60461,Getting error UX-1 when attempting to sign in. This started after your maintenance window yesterday.,Valorant,2024-03-04 03:37:02,2.0,268.91,LOW,Login / 2FA Issue,True
RGT-001989,CUST-C70E83D6,Cheater ruined 3 games in a row. Your reporting system seems broken. They are still not banned.,Teamfight Tactics,2023-04-28 13:19:47,4.0,11.61,MEDIUM,Cheat / Hacker Report,True
RGT-001739,CUST-BA4754CE,Got a communication ban for using my native language which the filter incorrectly flagged.,Valorant,2023-02-20 19:36:37,1.0,23.55,MEDIUM,Chat Restriction Appeal,True
RGT-002760,CUST-022A5689,I bought a new phone and now I cannot receive my 2FA SMS. Please help me recover access.,Legends of Runeterra,2023-01-13 13:08:42,6.0,7.18,MEDIUM,Login / 2FA Issue,True
RGT-001473,CUST-A897F389,Login fails with 'incorrect password' even after a password reset. I have cleared cookies and cache.,League of Legends,2023-08-22 10:04:48,1.0,,LOW,Login / 2FA Issue,False
RGT-001926,CUST-3FEAC054,Transaction stuck as 'pending' for 48 hours. My bank confirmed the charge went through. Please help.,League of Legends,2024-05-31 18:17:13,1.0,7.3,MEDIUM,Missing RP / Purchase Issue,True
RGT-002715,CUST-C0D9D54D,Reporting a player for using wallhacks in Valorant. Their username is Player1450. Please review game ID NA1_4477723644.,Teamfight Tactics,2023-02-16 06:16:48,2.0,118.34,MEDIUM,Cheat / Hacker Report,True
RGT-000606,CUST-2AE5E127,Ranked queue dodging penalty applied even though I did not dodge. I was in loading screen.,Valorant,2023-03-24 14:47:49,8.0,10.07,LOW,Ranked & Matchmaking,True
RGT-001284,CUST-E669E68E,Getting a black screen on launch. The process shows in Task Manager but nothing displays.,Valorant,2023-12-02 03:04:49,3.0,11.36,MEDIUM,Client Bug / Crash,True
RGT-002672,CUST-C4731564,,Valorant,2023-03-22 12:31:32,30.0,2.58,MEDIUM,Cheat / Hacker Report,True
RGT-002627,CUST-ABA4C4B7,I was charged twice for the same RP bundle. I see two transactions on my statement for $35.00.,Valorant,2024-01-27 23:03:12,33.0,7.25,MEDIUM,Missing RP / Purchase Issue,True
RGT-ND-9029,CUST-C7E0960A,"Client freezes during loading screen, crash every game.",League of Legends,2023-06-15 14:30:00,2.0,10.0,MEDIUM,Missing RP / Purchase Issue,True
RGT-002670,CUST-B0F7884C,"Hello, my account was flagged and restricted. I believe this is a false positive from your anti-cheat. I need an appeal.",League of Legends,2023-09-23 22:24:57,3.0,1.24,MEDIUM,Account Ban / Suspension,True
RGT-000074,CUST-9A387166,The game client crashes every time I enter champion select. I reinstalled but the problem persists.,Valorant,2023-11-28 02:18:58,0.0,,MEDIUM,Client Bug / Crash,False
RGT-000049,CUST-942B891D,Got a chat ban that escalated to a full account suspension. The context was taken out of context. I want to appeal.,Teamfight Tactics,2024-04-07 04:25:29,0.0,33.17,MEDIUM,Account Ban / Suspension,True
RGT-002259,CUST-285CB8C0,Blatant cheater in Diamond ranked. Please investigate account RiotUser#50266. They were toggling aimbot openly.,Legends of Runeterra,2023-05-06 05:34:16,2.0,13.97,MEDIUM,Cheat / Hacker Report,True
RGT-001917,CUST-0BDF6CA8,My account RiotUser#50778 was permanently banned but I never cheated. Please review the ban.,Valorant,2023-03-28 17:38:43,3.0,,MEDIUM,Account Ban / Suspension,False
RGT-001816,CUST-0911EC11,Ranked queue dodging penalty applied even though I did not dodge. I was in loading screen.,Valorant,2023-06-03 17:54:09,3.0,37.52,MEDIUM,Ranked & Matchmaking,True
RGT-000536,CUST-E365E0A1,I purchased the Battle Pass but didn't receive the rewards. Transaction ID: TXN-33F5988E.,Teamfight Tactics,2023-10-27 17:35:15,8.0,24.04,LOW,Missing RP / Purchase Issue,True
RGT-001271,CUST-5B4081EE,I called out a griefer and got chat banned while they did not. The system feels inconsistent.,Valorant,2023-04-09 16:29:30,13.0,3.11,HIGH,Chat Restriction Appeal,True
RGT-002133,CUST-47E2D332,I keep getting matched against the same scripter. Already reported in-game but they are still playing.,Valorant,2024-05-27 17:46:08,3.0,244.79,LOW,Cheat / Hacker Report,True
RGT-001666,CUST-492466D9,Several ability sound effects are missing for my Prestige Lux skin since the last update.,Wild Rift,2023-01-30 07:04:55,3.0,,MEDIUM,Champion / Skin Bug,False
RGT-001072,CUST-E0EBF5E1,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,Legends of Runeterra,2024-06-29 21:30:06,8.0,3.55,HIGH,Missing RP / Purchase Issue,True
RGT-001567,CUST-E5F60461,Audio cuts out completely mid-game after around 20 minutes of play. Rolling back drivers did not fix it.,Wild Rift,2023-07-09 09:53:02,4.0,13.95,MEDIUM,Client Bug / Crash,True
RGT-002749,CUST-5755564A,Several ability sound effects are missing for my Prestige Lux skin since the last update.,Teamfight Tactics,2023-12-20 18:06:43,3.0,13.3,MEDIUM,Champion / Skin Bug,True
RGT-002207,CUST-733AC364,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,League of Legends,2023-02-08 18:16:12,4.0,3.73,HIGH,Missing RP / Purchase Issue,True
RGT-002781,CUST-F262F08C,Getting a black screen on launch. The process shows in Task Manager but nothing displays.,Teamfight Tactics,2023-06-03 09:46:12,4.0,,LOW,Client Bug / Crash,False
RGT-000839,CUST-5865892D,I was in promo series but the server crashed mid-game. The loss was counted against me.,Valorant,2023-06-25 18:37:55,2.0,,LOW,Ranked & Matchmaking,True
RGT-001095,CUST-3C8F8826,Someone is ddosing our team. Two of my teammates disconnected within seconds of each other.,Valorant,2023-05-11 06:19:16,3.0,181.17,LOW,Cheat / Hacker Report,True
RGT-001346,CUST-BFE29D5D,I got permabanned for 'toxic behaviour' but all I did was mute my teammates. This seems unfair.,Wild Rift,2024-05-14 14:59:05,1.0,5.64,LOW,Account Ban / Suspension,True
RGT-002305,CUST-66CFECED,I used my last refund token on an item I now see is in the next sale. Can I have an exception?,League of Legends,2023-09-12 15:36:49,2.0,119.83,LOW,Refund Request,True
RGT-001234,CUST-01E0218A,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Legends of Runeterra,2023-06-04 03:33:10,17.0,3.11,MEDIUM,Account Ban / Suspension,True
RGT-002598,CUST-7709DC90,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,League of Legends,2023-03-12 08:10:25,27.0,30.27,MEDIUM,Missing RP / Purchase Issue,True
RGT-001847,CUST-C01D4863,My son made an unauthorized purchase on my account. He is 9 years old. Please refund $20.00.,Valorant,2023-01-18 12:30:19,2.0,37.17,MEDIUM,Refund Request,True
RGT-002830,CUST-B24928A2,There is a blatant scripter in my ranked game. They had 0ms reaction time and perfect skill shots all game.,Valorant,2024-06-06 02:43:22,7.0,13.48,HIGH,Cheat / Hacker Report,True
RGT-000325,CUST-06C5C50B,Locked out of my account after too many failed login attempts. I was trying to recover access legitimately.,Teamfight Tactics,2023-11-02 03:51:51,0.0,85.0,MEDIUM,Login / 2FA Issue,True
RGT-000760,CUST-E3CAA4C1,My Riot Points are missing after I topped up. I have the bank receipt. Please refund or credit my account.,Valorant,2023-03-17 17:04:27,1.0,46.83,MEDIUM,Missing RP / Purchase Issue,True
RGT-001510,CUST-9290DF1B,My Pulsefire Ezreal skin's recall animation is broken. It just shows the default animation instead.,League of Legends,2023-09-23 17:08:28,2.0,3.26,MEDIUM,Champion / Skin Bug,True
RGT-001732,CUST-4CF66CD9,The Dragon Trainer Tristana skin has a missing particle effect on her W ability.,Valorant,2023-06-10 03:46:02,26.0,5.83,MEDIUM,Champion / Skin Bug,True
RGT-002350,CUST-1B5CD02F,,Legends of Runeterra,2024-02-24 17:55:01,4.0,,MEDIUM,Account Ban / Suspension,False
RGT-001884,CUST-632AAECA,Someone is ddosing our team. Two of my teammates disconnected within seconds of each other.,Wild Rift,2024-01-28 09:21:24,3.0,1.03,MEDIUM,Cheat / Hacker Report,True
RGT-000600,CUST-1767AA4A,Client keeps logging me out randomly. I have to re-enter my password multiple times per session.,Valorant,2023-01-11 14:26:05,12.0,105.0,LOW,Client Bug / Crash,True
RGT-002164,CUST-FE972C20,I would like a refund for the champion I purchased yesterday. I have not played them yet.,Teamfight Tactics,2024-04-11 08:12:54,26.0,,MEDIUM,Refund Request,True
RGT-000434,CUST-5B4081EE,Lost 40 LP for a game I disconnected from due to power outage. Can this be reversed?,Wild Rift,2024-02-29 13:44:09,2.0,0.43,MEDIUM,Ranked & Matchmaking,True
RGT-002380,CUST-3488A6BE,Blatant cheater in Diamond ranked. Please investigate account RiotUser#76838. They were toggling aimbot openly.,Teamfight Tactics,2023-12-10 04:58:43,2.0,,MEDIUM,Cheat / Hacker Report,False
RGT-DUPE-0045,CUST-9F16D7C7,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,Legends of Runeterra,2024-02-04 01:49:39,1.0,,LOW,Missing RP / Purchase Issue,False
RGT-001745,CUST-ABA4C4B7,I used 'Login with Google' but Google account is now deleted. How do I recover my Riot account?,Valorant,2024-02-23 13:42:37,24.0,22.68,MEDIUM,Login / 2FA Issue,True
RGT-000240,CUST-AD0EDBC6,I bought 3250 RP but it never showed up in my account. I was charged on my card though.,Teamfight Tactics,2023-04-01 00:33:08,0.0,7.19,LOW,Missing RP / Purchase Issue,True
RGT-000818,CUST-7B38F130,"After the latest patch, my client freezes on the loading screen. I cannot get into any game.",Valorant,2023-12-28 17:33:35,2.0,2.4,HIGH,Client Bug / Crash,True
RGT-002662,CUST-17C181B6,I was charged twice for the same RP bundle. I see two transactions on my statement for $25.00.,Teamfight Tactics,2024-01-07 03:07:37,5.0,,MEDIUM,Missing RP / Purchase Issue,False
RGT-001178,CUST-0A0639F6,Reporting a player for using wallhacks in Valorant. Their username is Player3370. Please review game ID NA1_2204011980.,Valorant,Jan 2023,1.0,7.43,MEDIUM,Cheat / Hacker Report,True
RGT-002964,CUST-5C770011,"Purchased RP via prepaid card, entered the code but nothing was credited. Code: RITO-6DC0A0.",Teamfight Tactics,2023-12-12 01:34:02,4.0,62.29,MEDIUM,Missing RP / Purchase Issue,True
RGT-001731,CUST-CD15BFFA,Permanent ban issued on my account. I have 3000 hours on this game and have never violated ToS. Please help.,Wild Rift,2024-05-04 01:17:54,4.0,7.8,MEDIUM,Account Ban / Suspension,True
RGT-002534,CUST-5A8BFDA6,Blatant cheater in Diamond ranked. Please investigate account RiotUser#79462. They were toggling aimbot openly.,Teamfight Tactics,2023-06-03 07:03:06,2.0,11.12,HIGH,Cheat / Hacker Report,True
RGT-002226,CUST-F48C257F,Got a chat ban that escalated to a full account suspension. The context was taken out of context. I want to appeal.,League of Legends,2023-12-24 08:42:00,4.0,51.46,LOW,Account Ban / Suspension,True
RGT-002524,CUST-6843F2D2,I purchased a champion that is currently on free rotation. I would like a refund as this was misleading.,Wild Rift,2023-11-04 18:56:49,6.0,24.54,MEDIUM,Refund Request,True
RGT-001484,CUST-AC643856,I was charged twice for the same RP bundle. I see two transactions on my statement for $10.00.,Wild Rift,2023-02-09 06:51:00,4.0,24.16,LOW,Missing RP / Purchase Issue,True
RGT-000913,CUST-E365E0A1,Blatant cheater in Diamond ranked. Please investigate account RiotUser#56803. They were toggling aimbot openly.,Valorant,2023-11-08 02:58:38,11.0,56.71,LOW,Cheat / Hacker Report,True
RGT-002097,CUST-C7E0960A,"After updating, all my settings were reset. Also my custom game configurations are gone.",League of Legends,2023-04-04 20:08:19,23.0,20.57,MEDIUM,Client Bug / Crash,True
RGT-001966,CUST-3DE19524,I was banned for account sharing. I let my brother play once. Is there a way to appeal this decision?,Valorant,2023-07-08 18:19:35,0.0,4.96,HIGH,Account Ban / Suspension,True
RGT-000927,CUST-C1D53100,RP purchase failed but the money was deducted from my account. This is the second time this has happened.,Valorant,2024-06-06 11:15:10,1.0,,MEDIUM,Missing RP / Purchase Issue,True
RGT-002213,CUST-57FBCB14,Ranked queue dodging penalty applied even though I did not dodge. I was in loading screen.,Teamfight Tactics,2023-06-07 09:19:53,18.0,64.31,MEDIUM,Ranked & Matchmaking,True
RGT-001422,CUST-2C90108F,I got permabanned for 'toxic behaviour' but all I did was mute my teammates. This seems unfair.,Wild Rift,2023-04-13 20:50:36,,14.36,LOW,Account Ban / Suspension,True
RGT-DUPE-0009,CUST-11805665,"Purchased RP via prepaid card, entered the code but nothing was credited. Code: RITO-3789DD.",Wild Rift,2024-03-08 04:47:01,1.0,32.71,MEDIUM,Missing RP / Purchase Issue,True
RGT-000595,CUST-C7E0960A,My chat restriction ended but I am still unable to type in-game. There seems to be a bug.,Wild Rift,2023-08-17 00:04:34,9.0,7.38,MEDIUM,Chat Restriction Appeal,True
RGT-000602,CUST-5B1640FC,I was charged twice for the same RP bundle. I see two transactions on my statement for $35.00.,Teamfight Tactics,2023-04-04 13:33:33,2.0,,HIGH,Missing RP / Purchase Issue,False
RGT-000638,CUST-5C8E2E99,I purchased an emote for a character I no longer play. Refund would be appreciated.,Teamfight Tactics,2023-06-04 22:24:32,6.0,12.32,MEDIUM,Refund Request,True
RGT-002900,CUST-01E0218A,Client keeps logging me out randomly. I have to re-enter my password multiple times per session.,Valorant,2023-07-31 13:08:07,40.0,,MEDIUM,Client Bug / Crash,False
RGT-001796,CUST-5F210E14,I bought a new phone and now I cannot receive my 2FA SMS. Please help me recover access.,League of Legends,2023-08-07 02:09:11,21.0,0.62,HIGH,Login / 2FA Issue,True
RGT-001011,CUST-383F15F2,I received a 14-day suspension for allegedly using scripts. I have never used any third-party software. Please investigate.,Teamfight Tactics,2024-02-16 08:19:01,1.0,1.62,MEDIUM,Account Ban / Suspension,True
RGT-000681,CUST-ABA4C4B7,Someone is ddosing our team. Two of my teammates disconnected within seconds of each other.,Legends of Runeterra,2024-06-12 21:19:33,7.0,3.91,MEDIUM,Cheat / Hacker Report,True
